1	614	15.3
326	614	1.8
3	614	25.2
66	614	22.5
80	614	9.9
264	614	2.25
70	614	9.63
76	614	2.07
295	614	1.8
163	614	0.315
1	520	3.6
13	520	0.45
39	520	5.4
29	520	7.65
156	520	3.6
158	520	4.05
204	520	4.5
255	520	2.52
26	520	2.7
273	520	7.2
283	520	3.15
1	782	5.4
27	782	19.35
264	782	25.2
309	782	14.4
91	782	6.3
202	782	1.8
130	782	4.5
1	768	2.7
193	768	3.15
55	768	0.46
73	768	20.7
298	768	1.53
37	768	18.9
168	768	30.6
70	768	16.2
17	768	1.8
256	768	1.8
1	1507	1.8
269	1507	1.8
65	1507	1.71
44	1507	2.25
17	1507	2.48
1	407	5.4
194	407	3.15
27	407	22.5
314	407	1.13
15	407	0.9
128	407	1.8
158	407	0.675
214	407	1.13
269	407	5.4
32	407	2.25
273	407	7.2
59	407	5.85
11	407	1.62
188	407	13.77
1	683	2.7
166	683	0.086
125	683	6.75
168	683	6.18
165	683	4.5
204	683	8.01
183	683	9.0
274	683	0.09
58	683	25.02
96	683	4.05
1	499	6.3
170	499	2.7
91	499	4.5
295	499	3.6
139	499	1.17
1	385	2.7
205	385	2.7
317	385	0.45
9	385	31.5
276	385	0.63
80	385	13.5
110	385	1.26
129	385	9.0
204	385	0.54
17	385	9.0
147	385	0.09
283	385	0.9
130	385	12.6
1	603	6.3
194	603	13.5
261	603	1.35
86	603	9.0
76	603	2.25
11	603	6.300000000000001
83	603	1.35
13	344	0.135
205	344	1.08
3	344	27.45
170	344	0.045
23	344	16.2
80	344	14.4
60	344	56.43
165	344	18.0
28	344	4.5
76	344	1.8
5	344	3.15
249	344	7.65
245	344	0.9
13	373	0.45
9	373	2.7
4	373	5.94
261	373	7.65
175	373	6.48
76	373	4.5
56	373	2.34
280	373	11.25
13	1566	2.7
55	1566	4.05
29	1566	6.75
13	474	0.18
9	474	7.2
3	474	18.0
92	474	0.54
40	474	0.45
76	474	1.17
13	568	0.45
38	568	0.45
98	568	20.25
217	568	2.7
307	568	2.6100000000000003
4	568	6.4799999999999995
242	568	0.603
262	568	2.7
40	568	1.53
99	568	22.5
46	568	49.5
52	568	2.25
91	568	14.4
145	568	0.675
295	568	3.6
95	568	18.9
77	568	18.0
139	568	12.6
148	568	2.7
177	568	0.72
188	568	16.2
326	1567	0.9
216	1567	5.4
326	917	0.36
326	859	0.45
33	859	2.25
326	622	1.8
15	622	1.8
73	622	1.8
4	622	8.82
80	622	0.45
33	622	1.35
76	622	3.6
42	622	3.6
208	622	0.54
11	622	0.45
130	622	1.35
326	695	1.35
39	695	9.45
55	695	18.09
217	695	18.0
7	695	7.2
43	695	21.6
56	695	7.2
205	369	9.45
98	369	63.0
239	369	7.2
41	369	36.0
4	369	0.675
66	369	2.25
37	369	4.5
214	369	3.15
264	369	27.0
99	369	53.1
65	369	40.5
44	369	96.75
70	369	1.04
183	369	9.0
86	369	7.2
28	369	130.5
82	369	22.5
42	369	19.8
256	369	3.1500000000000004
233	369	10.35
188	369	7.07
205	506	6.75
27	506	27.0
38	506	1.8
9	506	72.0
23	506	108.0
37	506	5.85
125	506	18.0
223	506	2.7
44	506	63.0
70	506	4.5
6	506	21.6
96	506	6.75
77	506	14.4
188	506	31.049999999999997
280	506	7.2
205	671	1.58
91	671	3.15
6	671	1.58
233	671	4.95
205	790	5.4
4	790	2.43
214	790	2.25
204	790	1.44
255	790	2.34
95	790	15.3
205	381	10.35
27	381	13.5
38	381	14.4
127	381	1.13
92	381	0.9
269	381	8.1
224	381	0.135
282	381	0.27
89	381	1.08
205	1630	3.42
205	386	0.45
285	386	21.509999999999998
54	386	1.37
51	386	25.38
123	386	3.0599999999999996
23	386	130.5
16	386	0.27
129	386	2.7
219	386	4.05
99	386	12.6
76	386	0.45
58	386	5.13
42	386	19.98
96	386	4.5
130	386	5.85
177	386	2.07
205	425	2.7
55	425	12.15
210	425	15.21
307	425	4.5
216	425	4.01
158	425	1.8
168	425	3.06
313	425	6.3
40	425	11.7
33	425	0.99
91	425	0.9
47	425	10.53
56	425	5.67
69	425	4.23
188	425	18.0
205	686	1.8
308	686	0.27
291	686	0.9
274	686	0.9
205	702	7.2
27	702	18.0
38	702	4.5
50	702	47.7
9	702	37.35
7	702	0.45
129	702	22.5
277	702	1.58
255	702	1.8
183	702	9.0
122	702	7.470000000000001
91	702	17.78
6	702	62.550000000000004
95	702	1.8
233	702	3.6
62	702	54.0
77	702	13.5
280	702	14.4
205	885	0.315
205	794	8.100000000000001
98	794	22.5
138	794	0.36
91	794	25.2
295	794	0.9
58	794	2.25
139	794	19.35
148	794	1.8
205	502	6.75
193	502	0.779
51	502	9.63
138	502	2.07
261	502	2.25
219	502	1.53
35	502	11.808
33	502	0.747
82	502	6.98
95	502	9.0
249	502	20.52
245	502	7.2
290	502	6.3
148	502	0.99
194	461	24.75
38	461	0.9
55	461	5.18
298	461	3.15
54	461	2.7
170	461	1.44
4	461	1.8
135	461	0.9
37	461	27.450000000000003
158	461	2.9699999999999998
60	461	36.0
323	461	0.324
122	461	0.18
96	461	4.05
233	461	0.135
56	461	1.8
290	461	9.0
194	1400	0.882
290	1400	0.18
194	576	50.400000000000006
38	576	25.2
317	576	0.11699999999999999
128	576	0.9
54	576	0.54
29	576	1.25
37	576	46.44
300	576	0.45
150	576	0.45
60	576	31.5
324	576	22.23
311	576	1.8
194	342	20.97
27	342	18.0
50	342	22.5
3	342	33.3
4	342	8.55
12	342	5.85
99	342	2.25
309	342	18.0
130	342	7.2
69	342	16.02
141	342	0.09
194	392	4.5
285	392	30.869999999999997
27	392	13.5
50	392	7.83
55	392	2.25
98	392	65.7
3	392	1.35
217	392	2.97
239	392	13.68
307	392	5.22
51	392	1.04
66	392	7.11
37	392	0.19399999999999998
156	392	5.4
158	392	0.27
168	392	5.31
129	392	2.43
60	392	18.0
46	392	40.23
70	392	6.75
104	392	9.0
309	392	0.585
6	392	135.0
208	392	7.02
233	392	9.36
290	392	2.7
77	392	2.7
83	392	0.45
148	392	5.67
194	740	21.6
193	740	16.2
38	740	5.4
87	740	4.5
312	740	1.35
60	740	1.8
311	740	0.09
107	740	7.2
290	740	6.3
194	565	34.2
98	565	18.0
307	565	0.9
4	565	2.7
264	565	3.42
99	565	19.8
46	565	19.8
322	565	2.27
6	565	45.0
147	565	3.15
82	565	9.9
208	565	6.93
139	565	5.4
174	565	1.15
188	565	26.91
280	565	0.9
194	653	43.56
87	653	0.9
50	653	7.2
104	653	7.2
6	653	67.5
59	653	4.5
194	460	44.91
193	460	16.2
27	460	18.81
307	460	2.25
